Time resolution is 1 ps
Time=0, REC=         0, RPM=         0, State=00
Testing forward progression...
Time=25000, REC=         0, RPM=   2500000, State=00
Time=75000, REC=         1, RPM=   2500000, State=10
Time=125000, REC=         2, RPM=   2500000, State=11
Time=145000, REC=         2, RPM=   1250000, State=11
Time=175000, REC=         3, RPM=   1250000, State=01
Time=205000, REC=         3, RPM=    833333, State=01
Testing reverse progression...
Time=225000, REC=         4, RPM=    833333, State=00
Time=265000, REC=         4, RPM=    625000, State=00
Time=275000, REC=         3, RPM=    625000, State=01
Time=325000, REC=         2, RPM=    625000, State=11
Time=335000, REC=         2, RPM=   2500000, State=11
Time=375000, REC=         1, RPM=   2500000, State=10
Time=395000, REC=         1, RPM=   1250000, State=10
Testing negative overflow...
Time=425000, REC=         0, RPM=   1250000, State=00
Time=20745000, REC=4294967292, RPM=      1552, State=00
Time=20795000, REC=4294967292, RPM=      1548, State=00
Time=20845000, REC=4294967292, RPM=      1545, State=00
Time=20895000, REC=4294967292, RPM=      1541, State=00
Time=20945000, REC=4294967292, RPM=      1537, State=00
Time=20995000, REC=4294967292, RPM=      1533, State=00
Time=21045000, REC=4294967292, RPM=      1529, State=00
Time=21095000, REC=4294967292, RPM=      1526, State=00
Time=21145000, REC=4294967292, RPM=      1522, State=00
Time=21195000, REC=4294967292, RPM=      1518, State=00
Time=21245000, REC=4294967292, RPM=      1515, State=00
Time=21295000, REC=4294967292, RPM=      1511, State=00
Time=21345000, REC=4294967292, RPM=      1507, State=00
Time=21395000, REC=4294967292, RPM=      1504, State=00
Time=21445000, REC=4294967292, RPM=      1500, State=00
Time=21495000, REC=4294967292, RPM=      1497, State=00
Time=21545000, REC=4294967292, RPM=      1493, State=00
Time=21595000, REC=4294967292, RPM=      1489, State=00
